city,district,exposure,size,building_year,bedrooms,bathrooms,kitchen,garage,driver_room,maid_room,furnished,ac,rooftop,pool,frontyard,basement,duplex,stairs,elevator,fireplace,price
Riyadh,Al-Yarmouk ,West,375,2014,4,5,0,1,0,1,0,0,0,0,1,0,0,1,0,0,65000
Riyadh,Al-Ardeh,North,250,2020,5,4,1,1,1,1,0,0,0,0,0,0,1,1,0,0,80000
Riyadh,Al-Aqiq,South,300,2020,5,5,1,0,1,1,0,1,1,0,1,0,0,1,0,0,140000
Riyadh,Dhahrah Laban,East,450,2019,5,5,1,1,0,1,0,0,1,0,1,0,0,1,0,1,60000
Riyadh,Al-Narjis,North,300,2020,4,3,1,0,0,1,0,0,0,0,1,0,0,1,0,0,70000
Riyadh,Tawiq,Southwest,320,2018,6,5,1,1,0,1,0,0,0,0,0,0,1,1,0,0,35000
Riyadh,Al-Rawdah,East,900,2006,4,4,1,1,1,1,0,1,1,0,1,0,0,1,0,1,150000
Riyadh,Al-Malqa,South,375,2019,4,4,1,1,0,1,0,1,1,0,1,0,0,0,0,0,130000
Riyadh,Al-Ardeh,South,300,2020,4,2,1,1,1,1,0,1,0,0,1,0,0,1,0,0,80000
Riyadh,Al-Ardeh,North,250,2020,5,5,1,1,0,1,0,0,0,0,1,0,1,1,0,0,80000
Riyadh,Al-Muhammadiyah,East,460,2001,5,5,1,1,0,1,0,1,1,0,1,1,0,1,0,0,100000
Riyadh,Umm Sulaym,Southeast,340,2020,4,3,1,1,1,1,0,0,1,0,1,0,0,0,0,0,45000
Riyadh,Al-Andalus,North,330,2006,7,5,1,1,0,1,0,1,1,0,1,0,1,1,0,0,75000
Riyadh,Al-Muruj,North,250,2018,4,3,1,1,1,1,1,1,0,1,1,0,1,0,0,0,190000
Riyadh,Al-Mutamarat,West,240,2006,3,4,1,1,1,1,0,1,0,0,1,0,1,1,0,0,200000
Riyadh,Al-Sulaymaniyah,North,400,2020,6,5,1,1,0,1,0,1,0,0,1,0,1,1,0,0,85000
Riyadh,Al-Qayrawan,East,300,2020,2,5,1,0,0,0,0,1,0,0,1,0,1,0,0,0,80000
Riyadh,Ar-Ramal,North,206,2020,4,4,1,1,0,1,0,1,1,0,1,0,0,1,0,0,50000
Riyadh,Al-Wahah,East,550,2003,4,4,1,1,1,1,0,0,0,0,1,0,0,1,0,0,90000
Riyadh,Al-Fayha,East,600,2007,5,5,1,1,1,1,0,1,0,0,1,0,0,1,0,0,85000
Riyadh,Al-Mahdiah,South,300,2020,6,5,0,1,0,1,0,0,1,0,1,0,0,1,0,1,42000
Riyadh,Al-Sihafa,East,375,2014,3,5,1,1,1,1,1,1,0,1,1,0,1,1,0,0,140000
Riyadh,Dhahrah Laban,East,450,2020,7,5,1,1,0,1,0,0,1,0,1,0,1,1,0,1,60000
Riyadh,Ar-Ramal,South,290,2020,5,5,1,1,0,1,0,0,1,0,1,0,0,1,0,1,40000
Riyadh,Al-Ardeh,West,394,2020,4,5,1,1,1,1,1,1,1,0,1,0,0,1,0,1,140000
Riyadh,Al-Aqiq,North,1200,2006,7,5,1,1,1,1,0,1,1,1,1,0,0,1,0,0,400000
Riyadh,Al-Musayyif ,North,600,2001,5,5,1,1,1,1,0,1,1,0,1,0,0,1,0,0,125000
Riyadh,Al-Ardeh,North,312,2020,4,5,1,1,0,1,0,0,1,0,1,0,0,1,1,0,100000
Riyadh,Al-Malqa,East,416,2020,4,4,1,1,1,1,0,0,0,0,1,0,1,1,0,0,160000
Riyadh,Al-Sulaymaniyah,North,270,2016,3,4,1,1,1,1,0,1,0,1,1,0,1,1,0,0,125000
Riyadh,Al-Ardeh,North,250,2020,5,5,1,1,0,1,0,0,0,0,1,0,1,1,0,0,80000
Riyadh,Al-Narjis,North,230,2020,4,3,1,1,0,1,0,1,1,0,1,0,1,1,0,0,80000
Riyadh,Al-Ardeh,East,300,2020,5,4,1,1,0,1,0,1,1,0,1,0,1,0,0,0,85000
Riyadh,Al-Zahrah ,North,280,2011,7,4,1,1,0,1,0,0,0,0,1,0,1,1,0,0,35000
Riyadh,Al-Aqiq,Southeast,850,2014,5,5,1,1,1,1,0,1,1,0,1,1,0,1,0,1,150000
Riyadh,Al-Sihafa,West,375,2011,4,5,1,1,1,1,1,1,1,0,1,0,0,1,0,0,105000
Riyadh,Al-Sihafa,West,320,2014,5,4,1,1,1,1,0,1,0,0,1,0,0,1,0,0,90000
Riyadh,Al-Maizalah,West,300,2020,5,5,1,1,0,1,0,0,1,0,1,0,0,1,0,0,45000
Riyadh,Ar-Raid,South,375,2013,4,5,1,1,0,1,0,1,1,0,0,0,0,1,0,0,100000
Riyadh,Al-Sihafa,Northeast,250,2014,4,5,1,0,0,1,0,1,0,0,0,0,1,0,0,0,95000
